reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
1007,19,1,牟梨曼陀羅呪經,Mou Li Mantuoluo Zhou Jing,Mahāmaṇivipulavimānaviśvasupratiṣṭhitaguhyaparamarahasyakalparājadhāraṇī,失,譯,Unknown,Translated,,,502-557,See T 1005A.,"Sanskrit title and date 502-557 from Lancaster (2004, 'K 430')",Korean Canon,http://tripitaka.cbeta.org/T19n1007,2016-10-05
1008,19,1,菩提場莊嚴陀羅尼經,Puti Chang Zhuangyan Tuoluoni Jing,Bodhimaṇḍalalakṣālaṁkāranāmadhāraṇī,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,A text in the group of 諸經儀軌類 sutra ritual manuals (982–1029).,"Sanskrit title and date 746-774 from Lancaster (2004, 'K 1299')",Korean Canon,http://tripitaka.cbeta.org/T19n1008,2016-10-05
1009,19,1,出生無邊門陀羅尼經,Chusheng Wubian Men Tuoluoni Jing,Anantamukhasādhakadhāraṇī,不空,譯,Amoghavajra,Translated,唐,Tang,,Describes the dharani for the rebirth of the sādhaka (practioner) into a boundless entrance (anantamukha); a text relating to stupa worship in the group of 諸經儀軌類 sutra ritual manuals (982–1029).,"Sanskrit title from Lancaster (2004, 'K 1279')",Korean Canon,http://tripitaka.cbeta.org/T19n1009,2016-10-05
1010,19,1,佛說出生無邊門陀羅尼儀軌,Fo Shuo Chusheng Wubian Men Tuoluoni Yi Gui,Scripture of the Sublime Grasp of the Immeasurable Portal,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See T 1009.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞黄檗版淨嚴等加筆本, ＜甲＞三十帖策子, 此經麗宋元明四本倶欠 Source: Ōbaku Canon with notes by Jōgon; 1. Sanjuji sakushi. This text is not included in the Korean Canon.",Ōbaku Canon,http://tripitaka.cbeta.org/T19n1010,2016-10-05
1011,19,1,佛說無量門微密持經,Fo Shuo Wuliang Men Wei Mi Chi Jing,Scripture of the Sublime Grasp of the Immeasurable Portal,支謙,譯,Zhi Qian,Translated,唐,Tang,223-253,See T 1009.,"Sanskrit title and date 223-253 from Lancaster (2004, 'K 324')",Korean Canon,http://tripitaka.cbeta.org/T19n1011,2016-10-05
1012,19,1,佛說出生無量門持經,Fo Shuo Chusheng Wuliang Men Chi Jing,Anantamukhasādhakadhāraṇī,佛陀跋陀羅,譯,Buddhabhadra,Translated,東晉,Eastern Jin,419,See T 1009.,"Sanskrit title and date 419 from Lancaster (2004, 'K 325')",Korean Canon,http://tripitaka.cbeta.org/T19n1012,2016-10-05
1013,19,1,阿難陀目佉尼呵離陀經,Anantuo Mu Qu Ni He Li Tuo Jing,Anantamukhasādhakadhāraṇī,求那跋陀羅,譯,Guṇabhadra,Translated,劉宋,Liu Song,435-443,See T 1009.,"Sanskrit title and date 435-443 from Lancaster (2004, 'K 327')",Korean Canon,http://tripitaka.cbeta.org/T19n1013,2016-10-05
1014,19,1,無量門破魔陀羅尼經,Wuliang Men Po Mo Tuoluoni Jing,Anantamukhasādhakadhāraṇī,功德直．玄暢,譯,Guṇaśāla and Xuan Chang,Translated,劉宋,Liu Song,462,See T 1009.,"Sanskrit title and date 462 from Lancaster (2004, 'K 326')",Korean Canon,http://tripitaka.cbeta.org/T19n1014,2016-10-05
1015,19,1,佛說阿難陀目佉尼呵離陀隣尼經,Fo Shuo Anantuo Mu Qu Ni He Li Tuo Lin Ni Jing,Anantamukhasādhakadhāraṇī,佛馱扇多,譯,Buddhaśānta,Translated,元魏,Northern Wei,525-539,See T 1009.,"Sanskrit title and date 525-539 from Lancaster (2004, 'K 328')",Korean Canon,http://tripitaka.cbeta.org/T19n1015,2016-10-05
1016,19,1,舍利弗陀羅尼經,Shelifu Tuoluoni Jing,Anantamukhasādhakadhāraṇī,僧伽婆羅,譯,Saṅghabhara,Translated,梁,Liang,506,See T 1009.,"Sanskrit title and date 506 from Lancaster (2004, 'K 329')",Korean Canon,http://tripitaka.cbeta.org/T19n1016,2016-10-05
1017,19,1,佛說一向出生菩薩經,Fo Shuo Yixiang Chusheng Pusa Jing,Anantamukhasādhakadhāraṇī,闍那崛多,譯,Jñānagupta,Translated,隋,Sui,586-595,See T 1009.,"Sanskrit title and date 586-595 from Lancaster (2004, 'K 330')",Korean Canon,http://tripitaka.cbeta.org/T19n1017,2016-10-05
1018,19,1,出生無邊門陀羅尼經,Chusheng Wubian Men Tuoluoni Jing,Anantamukhasādhakadhāraṇī,智嚴,譯,Zhi Yan,Translated,唐,Tang,721,See T 1009.,"Sanskrit title and date 721 from Lancaster (2004, 'K 331')",Korean Canon,http://tripitaka.cbeta.org/T19n1018,2016-10-05
1019,19,1,大方廣佛華嚴經入法界品四十二字觀門,Dafang Guang Fo Huayan Jing Ru Fajie Pin Si Shi Er Zi Guan Men,Method of Meditation on the Forty-two Letters of the Gaṇdhayūha Chapter of the Avataṃsaka Sūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,A retranslation of part of the 入法界品 Gaṇdhayūha Chapter of the Avataṃsaka Sūtra and an explanation of meditation on the letters.,"Date 720-774 from Lancaster (2004, 'K 1329')",Korean Canon,http://tripitaka.cbeta.org/T19n1019,2016-10-05
1020,19,1,大方廣佛花嚴經入法界品頓證毘盧遮那法身字輪瑜伽儀軌,Dafangguang Fo Hua Yan Jing Ru Fajie Pin Dun Zheng Piluzhena Fashen Zi Lun Yujia Yi Gui,Mahāvaipulya Avataṃsaka Sūtra Entrance into the Dharma Realm Chapter Vairocana Dharma Body Wheel of Characters Yoga Ritual Manual,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,This text contains an image of the wheel of charaters. See also T 1019.,A Taishō footnote for this text reads: ＜原＞麗本 Source: Korean Canon.,Korean Canon,http://tripitaka.cbeta.org/T19n1020,2016-10-05
1021,19,1,華嚴經心陀羅尼,Huayan Jing Xin Tuoluoni,Avatamsaka Sutra Heart Dharani,,,,,,,,"The text is contained in the Sanjuji sakushi, a National Treasure of Japan.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞三十帖策子第二十二帖, 此經麗宋元明四本倶欠 Source: Twentieth sheet of the Sanjuji sakushi; this text is not contained in the Korean, Song, or Ming canons.",Sanjuji sakushi,http://tripitaka.cbeta.org/T19n1021,2016-10-05
1022A,19,1,一切如來心祕密全身舍利寶篋印陀羅尼經,Yiqie Rulai Xin Mimi Quanshen Sheli Bao Qie Yin Tuoluoni Jing,Sarvatathāgatādhiṣṭhānahṛdayaguhyadhātukaraṇḍamudrādhāraṇī,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"The text relates to the worship of Buddha relics. This version includes the dharani in Siddham script in addition to Chinese. It is included in the Sanjuji sakushi, a National Treasure of Japan.","The Siddham letters are not displayed corrected in the NTI Reader. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞麗本, ＜甲＞三十帖策子第十八帖, ＜乙＞黄檗版淨嚴等加筆本 Source: Korean Canon; 1. Eighteenth sheet of the Sanjuji sakushi; 2. Ōbaku Canon with notes by Jōgon and others.",Korean Canon,http://tripitaka.cbeta.org/T19n1022A,2016-10-05
1022B,19,1,一切如來心祕密全身舍利寶篋印陀羅尼經,Yiqie Rulai Xin Mimi Quanshen Sheli Bao Qie Yin Tuoluoni Jing,Sarvatathāgatādhiṣṭhānahṛdayaguhyadhātukaraṇḍamudrādhāraṇī,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See 1022A.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本, 此經與麗本大異故別載之 Source: Hase-dera Canon, published in the first year of the Kyōwa era [1801-1804]; there are large differences between this text and the Korean Canon.",Hase-dera,http://tripitaka.cbeta.org/T19n1022B,2016-10-05
1023,19,1,一切如來正法祕密篋印心陀羅尼經,Yiqie Rulai Zhengfa Mimi Qie Yin Xin Tuoluoni Jing,Sarvatathāgatādhiṣṭhānahṛdayaguhyadhātukaraṇḍadhāraṇī,施護,譯,Dānapāla,Translated,宋,Song,983,See 1022A.,"Sanskrit title and date 983 from Lancaster (2004, 'K 1113')",Korean Canon,http://tripitaka.cbeta.org/T19n1023,2016-10-05
1024,19,1,無垢淨光大陀羅尼經,Wugou Jing Guang Da Tuoluoni Jing,Raśmivimalaviśuddhaprabhādhāraṇī,彌陀山,譯,Mitraśānta,Translated,唐,Tang,704,"Describes the merits of building and repairing stupas for eliminating karmic obstacles, extending lifespan, and being reborn in the Pureland. Also gives the dharani.","Sanskrit title and date 704 from Lancaster (2004, 'K 352'). Buzwell and Lopez note that it is the world's oldest, still intact printed text.",Korean Canon,http://tripitaka.cbeta.org/T19n1024,2016-10-05
1025,19,2,佛頂放無垢光明入普門觀察一切如來心陀羅尼經,Fo Ding Fang Wugou Guangming Ru Pu Men Guancha Yiqie Rulai Xin Tuoluoni Jing,Samantamukhapraveśaraśmivimaloṣṇīṣaprabhāsarvatathāgatahṛdayasamāvalokitadhāraṇī,施護,譯,Dānapāla,Translated,宋,Song,984,"Gives a dharani and describes the merit of reciting it, including overcoming of karmic obstacles and being reborn in a hell realm.","Sanskrit title and date 984 from Lancaster (2004, 'K 1107')",Korean Canon,http://tripitaka.cbeta.org/T19n1025,2016-10-05
1026,19,1,佛說造塔延命功德經,Fo Shuo Zao Ta Yan Ming Gongde Jing,Buddha Expounds the Sūtra on Extending Life through the Merit of Making Stūpas,般若,譯,Prajñā,Translated,唐,Tang,618-907,The text describes merit building through building of stupas and gives dharanis.,"This text contains Siddham characters that are not shown correctly in the NTI Reader. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞縮刷大藏經, 原本冠註曰此經麗宋元明四本倶欠今對校檗本, ＜甲＞三十帖策子第十七帖 Source: Shukusatsu daizōkyō [Reduced Print Canon]. This version has some notes that are not present in the Korean, Song, Yuan, and Ming versions. 1. Sheet 17 of the Sanjuji sakushi.",Shukusatsu daizōkyō,http://tripitaka.cbeta.org/T19n1026,2016-10-05
1027A,19,1,金剛光焰止風雨陀羅尼經,Jingang Guang Yan Zhi Fengyu Tuoluoni Jing,The Vajra Blazing Light Stops Rainstorms Dharani Sutra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,618-907,A text within the 諸經儀軌類 sutra ritual manuals group (982–1029).,"This text contains Unicode characters that are not shown correctly in the NTI Reader. A Taishō footnote for this text reads: ＜原＞麗本, 此經宋明二本與麗本大異故別載之 Source: Korean Canon; this text does not appear in the Song or Ming canons and differs greatly from the Korean Canon.",Korean Canon,http://tripitaka.cbeta.org/T19n1027a,2016-10-05
1027B,19,1,金剛光焰止風雨陀羅尼經,Jingang Guang Yan Zhi Fengyu Tuoluoni Jing,The Vajra Blazing Light Stops Rainstorms Dharani Sutra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,710,See 1027A.,"Lancaster (2004, 'K 436')",Korean Canon,http://tripitaka.cbeta.org/T19n1027b,2016-10-05
1028A,19,1,佛說護諸童子陀羅尼經,Fo Shuo Hu Zhu Tongzi Tuoluoni Jing,Protection of Children Dharani Sutra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,508-535,The text gives a dharani and a story where fifteen rākṣasīs protect children.,"A Taishō footnote for this text reads: ＜原＞麗本, ＜甲＞天平時代寫越前西福寺藏本, ＜乙＞黄檗版淨嚴等加筆本 Source: Korean Canon; 1. Echizen Saifukuji collection manuscript, Tempyō period [729–749]; 2. Ōbaku Canon with nots from Jōgon and others.",Korean Canon,http://tripitaka.cbeta.org/T19n1028A,2016-10-05
1028B,19,1,童子經念誦法,Tongzi Jing Niansong Fa,Protection of Children Sutra and Liturgy,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,See 1028A.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞平治元年寫東寺三密藏本 Source: Tō-ji Sanmitsu Canon manuscript, first year of the Heiji era [1159-1160].",Sanmitsu Canon,http://tripitaka.cbeta.org/T19n1028B,2016-10-05
1029,19,1,佛說安宅陀羅尼呪經,Fo Shuo An Zhai Tuoluoni Zhou Jing,Peaceful Habitation Dharani Sutra,,,,,,,,A text within the 諸經儀軌類 sutra ritual manuals group (982–1029).,"Lancaster (2004, 'K 438h')",Korean Canon,http://tripitaka.cbeta.org/T19n1029,2016-10-05
1030,20,1,觀自在大悲成就瑜伽蓮華部念誦法門,Guanzizai Dabei Chengjiu Yujia Lianhua Bu Niansong Famen,Avalokitesvara Great Compassion Attainment Yogo Lotus Division Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,This text teaches a dharani invoking Avalokitesvara and method to recite it with mudras. A text within the 諸觀音儀軌類 Avalokitesvara ritual manuals group (1030–1118).,"Date 720-774 from Lancaster (2004, 'K 1374')",Korean Canon,http://tripitaka.cbeta.org/T20n1030,2016-10-06
1031,20,1,聖觀自在菩薩心真言瑜伽觀行儀軌,Sheng Guanzizai Pusa Xin Zhenyan Yujia Guan Xing Yi Gui,Sacred Avalokitesvara Bodhisattva Heart mantra Yoga Contemplation and Practice Ritual Manual,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"This text describes establishing a mandala, entering it, ritual prostrations, mental state, recitation of a mantra, and mudras. The text is included within the 諸觀音儀軌類 Avalokitesvara ritual manuals (1030–1118) group.","Date 720-774 from Lancaster (2004, 'K 1327')",Korean Canon,http://tripitaka.cbeta.org/T20n1031,2016-10-06
1032,20,1,瑜伽蓮華部念誦法,Yujia Lianhua Bu Niansong Fa ,Yoga Lotus Division Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,This text describes recitation of a mantra and mudras. It is included within the 諸觀音儀軌類 Avalokitesvara ritual manuals (1030–1118) group.,"Date 746-774 from Lancaster (2004, 'K 1325')",Korean Canon,http://tripitaka.cbeta.org/T20n1032,2016-10-06
1033,20,1,金剛恐怖集會方廣軌儀觀自在菩薩三世最勝心明王經,Jingang Kongbu Jihui Fangguang Gui Yi Guanzizai Pusa San Shi Zui Sheng Xin Ming Wang Jing ,"Fearsome Vajra Assembly Vaipulya Ritual, Avalokitesvara Bodhisattva Past, Present, and Future Supreme Heart Vidyaraja Sutra",不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"Avalokitesvara teaches recitation of great mantras. The text tells of the merits of the mantras, which can lead to attainments, and describes mudras. It is included within the 諸觀音儀軌類 Avalokitesvara ritual manuals (1030–1118) group.","Date 746-774 from Lancaster (2004, 'K 1278')",Korean Canon,http://tripitaka.cbeta.org/T20n1033,2016-10-06
1034,20,1,呪五首,Zhou Wu Shou ,Five Mantras,玄奘,譯,Xuanzang,Translated,唐,Tang,664,"Text for the mantras in both Chinese and Siddham. They are: 1. 能滅眾罪千轉陀羅尼咒 Able to Eliminate Many Sins Thousand Revolutions Dharani, 2. 六字咒 Mantra of Six Syllables, 3. 七俱胝佛咒 Buddha of Seven Kotis Mantra, 4. 一切如來隨心咒 All the Tathagatas Fulfill Wishes Mantra, 5. 觀自在菩薩隨心咒 Avalokitesvara bodhisattva Fulfill Wishes Mantra.","This text includes Siddhaṃ script that is not displayed properly in the NTI Reader. Date 664 from Lancaster (2004, 'K 312').",Korean Canon,http://tripitaka.cbeta.org/T20n1034,2016-10-06
1035,20,1,千轉陀羅尼觀世音菩薩呪,qiān zhuǎn tuóluóní Guānshìyīn Púsà zhòu,Dhāraṇī of the Thousand Revolutions of Avalokiteśvara Bodhisattva,智通,譯,Zhi Tong,Translated,唐,Tang,653,"The text gives the dharani, a visual description of Avalokiteśvara, and a mandala. It lists mudras and ritual offerings. The dharani can eliminate karmic hindrances.","Date 653 from Lancaster (2004, 'K 313')",Korean Canon,http://tripitaka.cbeta.org/T20n1035,2016-10-06
1036,20,1,千轉大明陀羅尼經,Qian Zhuan Da Ming Tuoluoni Jing,Vidya Dharani of a Thousand Revolutions Sutra,施護,譯,Dānapāla,Translated,宋,Song,960-1279,See T 1035.,A Taishō footnote for this text reads: ＜原＞麗本 Source: Korean Canon.,Korean Canon,http://tripitaka.cbeta.org/T20n1036,2016-10-06
1037,20,1,觀自在菩薩說普賢陀羅尼經,Guanzizai Pusa Shuo Puxian Tuoluoni Jing,Samantabhadradhāraṇīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"Avalokitesvara bodhisattva explains the merits of the Samantabhadra Dhāraṇī, enters the Vajra Mandala Samadhi and recites dhāraṇī. Following that the effects of the dhāraṇī are listed, including liberation from suffering and curing of illness, and more ritual details are given.","Sanskrit title and date 720-774 from Lancaster (2004, 'K 1308')",Korean Canon,http://tripitaka.cbeta.org/T20n1037,2016-10-06
1038,20,1,清淨觀世音普賢陀羅尼經,Qing Jing Guanshiyin Puxian Tuoluoni Jing,Samantabhadradhāraṇīsūtra,智通,譯,Zhi Tong,Translated,唐,Tang,653,See T 1037.,"Sanskrit title and date 653 from Lancaster (2004, 'K 449')",Korean Canon,http://tripitaka.cbeta.org/T20n1038,2016-10-06
1039,20,1,阿唎多羅陀羅尼阿嚕力經,A Li Duoluo Tuoluoni A Lu Li Jing,Arya-Tara Dharani Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,Avalokitesvara recites the dhāraṇī and explains the merits accomplished.,"Date 746-774 from Lancaster (2004, 'K 1281')",Korean Canon,http://tripitaka.cbeta.org/T20n1039,2016-10-06
1040,20,1,金剛頂降三世大儀軌法王教中觀自在菩薩心真言一切如來蓮華大曼荼羅品,Jingang Ding Jiang San Shi Da Yi Gui Fa Wang Jiao Zhong Guanzizai Pusa Xin Zhenyan Yiqie Rulai Lianhua Da Mantuluo Pin,Vajra Pinnacle Trailokyavijaya Ritual Manual Great Dharma Teacher Avalokitesvara Bodhisattva Heart Mantra All Tathagatas Lotus Mandala Chapter,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"Avalokitesvara recites the dhāraṇī. The acarya explains mudras, establishment of a mandala, and other ritual procedures.","Date 746-774 from Lancaster (2004, 'K 1366')",Korean Canon,http://tripitaka.cbeta.org/T20n1040,2016-10-06
1041,20,1,觀自在菩薩心真言一印念誦法,Guanzizai Pusa Xin Zhenyan Yi Yin Niansong Fa,Avalokitesvara Bodhisattva Heart Mantra and Mudra Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,"This text gives a mantra, describes related mudras, and Siddhaṃ script.","This text includes Siddhaṃ script that is not displayed properly in the NTI Reader. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞寛弘三年寫東寺三密藏本 Source: Buzan college Canon published in the Kyōhō era [1716-1736]; 1. Tō-ji Sanmitsu Canon manuscript, 3rd year of the Kankō era [1004-1013].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1041,2016-10-07
1042,20,1,觀自在菩薩大悲智印周遍法界利益眾生薰真如法,Guanzizai Pusa Dabei Zhi Yin Zhou Bian Fajie Liyi Zhongsheng Xun Zhenru Fa,Avalokitesvara Bodhisattva Great Compassion Wisdom Mudra to Help Sentient Beings throgughout the Dharma Realm Tathata Ritual,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,"The work gives a mantra, describes meditation on Sanskrit syllables and includes accompanying images and Siddham text.","This text includes Siddhaṃ script and images that are not displayed properly in the NTI Reader. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保二十年刊豐山大學藏本, ＜甲＞平安時代寫高山寺藏本 Source: Buzan college Canon, published 2nd year of the Kyōhō era [1716-1736]; 1. manuscript from the Takayama Temple collection, Heian Period [794－1192].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1042,2016-10-07
